名称,地区
达坂城区洛宾社区东苑,乌鲁木齐
新市区宏星时代假日酒店,乌鲁木齐
新市区龙海五度小区,乌鲁木齐
新市区雅矿小区,乌鲁木齐
新市区五十四中家属院,乌鲁木齐
新市区自治区广播电视局,乌鲁木齐
新市区少管所小区（北门）,乌鲁木齐
新市区警秀苑小区,乌鲁木齐
新市区警馨花园二期（北门）,乌鲁木齐
新市区第四监狱家属楼,乌鲁木齐
新市区少管所家属院西门,乌鲁木齐
新市区锦绣年华北区,乌鲁木齐
新市区女监家属院80号,乌鲁木齐
新市区女监狱育新巷155号,乌鲁木齐
新市区育新巷166号,乌鲁木齐
新市区38号家属院（五监）,乌鲁木齐
新市区新收犯监狱小区,乌鲁木齐
新市区莎车办事处,乌鲁木齐
新市区鲤鱼山公园（西门）,乌鲁木齐
开发区八钢销售部,乌鲁木齐
开发区八钢员工服务中心,乌鲁木齐
开发区八钢职工网球馆,乌鲁木齐
开发区八钢职工游泳中心,乌鲁木齐
开发区八钢职工羽毛球馆,乌鲁木齐
开发区八一路社区,乌鲁木齐
开发区宝钢集团新疆八一钢铁有限公司,乌鲁木齐
开发区工商银行钢城支行营业室,乌鲁木齐
开发区设备工程部,乌鲁木齐
开发区乌鲁木齐阿依苏实业有限公司,乌鲁木齐
开发区乌鲁木齐互利安康保安服务有限责任公司,乌鲁木齐
开发区新疆八钢国际贸易股份有限公司,乌鲁木齐
开发区新疆八钢物业有限责任公司 ,乌鲁木齐
开发区新疆钢铁设计院有限责任公司,乌鲁木齐
开发区好西部酒店,乌鲁木齐
开发区八钢回族上寺,乌鲁木齐
开发区八钢三供一业指挥部,乌鲁木齐
开发区八钢物业有限责任公司绿化工程部,乌鲁木齐
开发区滨河社区,乌鲁木齐
开发区青少年校外活动中心,乌鲁木齐
开发区乌市92中,乌鲁木齐
开发区经开区第二人民医院西小区,乌鲁木齐
开发区东干渠社区,乌鲁木齐
开发区新疆八一钢铁集团有限责任公司医院,乌鲁木齐
开发区柯坪路北社区,乌鲁木齐
开发区柯坪路北社区卫生服务中心,乌鲁木齐
开发区乌鲁木齐市第26幼儿园,乌鲁木齐
开发区乌鲁木齐市第93小学,乌鲁木齐
开发区柯西社区幸福苑小区,乌鲁木齐
开发区柯坪路西社区,乌鲁木齐
开发区洛克伦街小区,乌鲁木齐
开发区钢城片区管委会,乌鲁木齐
开发区洛克伦街社区,乌鲁木齐
开发区乌鲁木齐市第91小学,乌鲁木齐
开发区乌鲁木齐银行柯坪路支行,乌鲁木齐
开发区平安社区,乌鲁木齐
开发区乌鲁木齐昊合城美物业服务有限公司,乌鲁木齐
开发区基督教聚汇点,乌鲁木齐
开发区顺河路北社区,乌鲁木齐
开发区经开区（头屯河区）美沙酮药物维持治疗门诊,乌鲁木齐
开发区顺河路社区,乌鲁木齐
开发区顺河路清真寺,乌鲁木齐
开发区顺河路西社区,乌鲁木齐
开发区顺西B区,乌鲁木齐
开发区工商银行八一路支行营业部,乌鲁木齐
开发区维吾尔族大寺,乌鲁木齐
开发区魏户滩路社区,乌鲁木齐
开发区7008清真寺,乌鲁木齐
开发区西域社区,乌鲁木齐
开发区新疆工业职业学院,乌鲁木齐
开发区工人俱乐部,乌鲁木齐
开发区乌鲁木齐市第92小学,乌鲁木齐
开发区新村东街社区,乌鲁木齐
开发区柯坪路邮政支局,乌鲁木齐
开发区新村街社区,乌鲁木齐
开发区新风路社区西小区,乌鲁木齐
开发区爱丁堡·博望幼儿园,乌鲁木齐
开发区八钢佳域工贸总公司,乌鲁木齐
开发区八钢回族下寺,乌鲁木齐
开发区乒乓球馆,乌鲁木齐
开发区乌鲁木齐市第97中学,乌鲁木齐
开发区乌鲁木齐市第二十七幼儿园,乌鲁木齐
开发区乌市头屯河区人民法院头屯河法庭,乌鲁木齐
开发区新风路社区,乌鲁木齐
开发区新疆新冶华美科技有限公司,乌鲁木齐
开发区中国建设银行（钢铁支行）,乌鲁木齐
开发区新立社区A小区（东门）,乌鲁木齐
开发区新立社区,乌鲁木齐
软件园,乌鲁木齐
开发区一鸣佳苑,乌鲁木齐
开发区新美小区,乌鲁木齐
开发区裕馨小区,乌鲁木齐
开发区疆亿源小区,乌鲁木齐
开发区农工商小区,乌鲁木齐
开发区裕阳花苑小区,乌鲁木齐
开发区博达花园小区、啤酒厂小区,乌鲁木齐
开发区和田干休所小区,乌鲁木齐
开发区粮食局小区,乌鲁木齐
开发区青少年活动中心,乌鲁木齐
博洋雅居,乌鲁木齐
乌苏啤酒厂,乌鲁木齐
安置楼小区停车场,乌鲁木齐
玄圃酒店,乌鲁木齐
天泉名居小区,乌鲁木齐
华鑫小区,乌鲁木齐
水业集团,乌鲁木齐
阿勒泰地区行署驻乌鲁木齐办事处,乌鲁木齐
沙依巴克区棉花街18号小区,乌鲁木齐
阳光青城小区,乌鲁木齐
雅南高第,乌鲁木齐
沙依巴克区公路勘察设计院,乌鲁木齐
公安厅家属院南苑,乌鲁木齐
公安厅家属院北苑,乌鲁木齐
乌鲁木齐市种子公司,乌鲁木齐
